model,horizon,task,train_samples,val_samples,test_samples,epochs,best_val_loss,mae_mean,rmse_mean,mape_mean,primary_mae_mean,primary_rmse_mean,primary_mape_mean,positive_rate,f1_at_0_5,precision_at_0_5,recall_at_0_5,auprc,auroc
LSTM,1,forecasting,71214,15609,15576,5.0,0.5460377857089043,77.44590759277344,123.5975112915039,312.49169921875,3.7740349769592285,6.606256484985352,68.95402526855469,,,,,,
LSTM,1,classification,71214,15609,15576,5.0,0.9767076224088668,,,,,,,0.1721879839897155,0.4041910134998993,0.2769188293760353,0.7479492915734527,0.447689984879381,0.7553261250138368
TCN,1,forecasting,71214,15609,15576,3.0,27.62723439931869,343.218017578125,1287.6357421875,1100.348388671875,13.360036849975586,51.6732292175293,131.2548370361328,,,,,,
TCN,1,classification,71214,15609,15576,3.0,1.429778277873993,,,,,,,0.1721879839897155,0.3890929326655537,0.277328256385848,0.6517524235645041,0.2699032210011738,0.6846411114222584
LSTM,3,forecasting,71148,15609,15510,5.0,0.5994234755635262,80.17010498046875,132.0876922607422,265.2520751953125,3.8215792179107666,6.90658712387085,72.13854217529297,,,,,,
LSTM,3,classification,71148,15609,15510,5.0,1.026783749461174,,,,,,,0.1722114831209182,0.3898564008554843,0.2677672076105204,0.7165855484837139,0.3703315742303782,0.7207350725450455
TCN,3,forecasting,71148,15609,15510,3.0,12.783909738063812,339.5963134765625,1156.6341552734375,1005.3182983398438,6.580491542816162,16.23464584350586,116.66161346435547,,,,,,
TCN,3,classification,71148,15609,15510,3.0,1.2905631363391876,,,,,,,0.1722114831209182,0.3340169938470553,0.2259513742071881,0.6402096593036316,0.2198280150553225,0.6193403959861277
LSTM,6,forecasting,71049,15609,15411,5.0,0.6160400360822678,80.04650115966797,130.27175903320312,238.40719604492188,3.9908361434936523,7.053000450134277,73.74091339111328,,,,,,
LSTM,6,classification,71049,15609,15411,5.0,1.0475305914878843,,,,,,,0.1716306507587433,0.3677919097255427,0.2461597542242703,0.7270321361058601,0.3504824368914242,0.702368679565019
TCN,6,forecasting,71049,15609,15411,3.0,10.692579686641691,266.10711669921875,777.7710571289062,830.4930419921875,7.6596198081970215,19.910518646240234,121.73987579345703,,,,,,
TCN,6,classification,71049,15609,15411,3.0,1.83079931139946,,,,,,,0.1716306507587433,0.3129158512720156,0.211089108910891,0.6045368620037808,0.1990605508558541,0.5831318391509583
LSTM,12,forecasting,70851,15609,15213,5.0,0.611639104783535,82.1490478515625,132.88290405273438,249.42312622070312,3.891711711883545,7.06643009185791,73.41620635986328,,,,,,
LSTM,12,classification,70851,15609,15213,5.0,1.0431715548038485,,,,,,,0.1720239222049713,0.3763081238537059,0.2621767889356584,0.6664119220481467,0.3801297291129602,0.7100826902730554
TCN,12,forecasting,70851,15609,15213,3.0,13.123090282082558,332.884033203125,1110.3004150390625,967.0653686523438,11.522180557250977,41.974708557128906,124.86080932617188,,,,,,
TCN,12,classification,70851,15609,15213,3.0,1.4827938973903656,,,,,,,0.1720239222049713,0.2885021627602857,0.1957946477334789,0.5479556744363775,0.1896042622898524,0.5694997307950447
