model,model_label,ablation,horizon,task,metric,value,label_type,runnable_status
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,primary_mae,2.156859838836285,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,primary_rmse,4.601636400940972,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,primary_mape_floor1_pct,42.41108775573882,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,all_kpi_mae,30.171722806683885,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,all_kpi_rmse,53.19228618984124,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,all_kpi_mape_floor1_pct,92.23896378440504,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,primary_mae,2.1791263051064242,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,primary_rmse,4.635082832286612,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,primary_mape_floor1_pct,42.73624086868329,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,all_kpi_mae,31.192815445316324,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,all_kpi_rmse,62.416754883585874,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,all_kpi_mape_floor1_pct,93.37136054033628,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,primary_mae,2.1831212936664874,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,primary_rmse,4.635146511356627,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,primary_mape_floor1_pct,42.64248377656962,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,all_kpi_mae,31.25058290103887,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,all_kpi_rmse,62.14142346930573,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,all_kpi_mape_floor1_pct,92.96167161218227,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,primary_mae,2.183121291505942,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,primary_rmse,4.635146498671759,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,primary_mape_floor1_pct,42.64248362208766,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,all_kpi_mae,31.250582994134486,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,all_kpi_rmse,62.14142725857976,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,all_kpi_mape_floor1_pct,92.96166678112884,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,primary_mae,2.2243984789598463,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,primary_rmse,4.705931652419846,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,primary_mape_floor1_pct,43.48116528750038,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,all_kpi_mae,31.67548641606741,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,all_kpi_rmse,61.33185910596706,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,all_kpi_mape_floor1_pct,97.44071740113604,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,forecasting,primary_mae,2.1830480169344644,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,forecasting,primary_rmse,4.6350947454931966,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,forecasting,primary_mape_floor1_pct,42.64245911703116,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,forecasting,all_kpi_mae,31.251034914152303,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,forecasting,all_kpi_rmse,62.14274639934853,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,forecasting,all_kpi_mape_floor1_pct,92.96752152222587,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,1,forecasting,primary_mae,4.630498641297834,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,1,forecasting,primary_rmse,8.275741521079201,real_kpi,run
