model,model_label,ablation,horizon,task,kpi,is_primary_kpi,mae,rmse,mape_floor1_pct,runnable_status
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,(E2N or E2W or E2G)Redirection Times,0,2.4558944257108966,4.110011523257699,79.73881945771038,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,Average TA,0,0.1667741833411119,0.32001145950416837,8.797420829337229,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,CQI AVG,1,0.5372811681746361,1.1399083978169178,13.440805271765784,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,Call Drop Rate RNL(%),0,0.18266510312487824,0.46837967692240484,16.21030489835798,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,Call Drop Rate(%),1,0.1863771296878434,0.4720028251039698,16.527833653788186,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,Call Drop Times,0,1.9398266961804087,4.300501239782119,88.91210310261035,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,Call Drop Times RNL,0,1.8499685054384827,4.146187218740579,88.56280870823088,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,DL Activated Users Avg,0,0.17054198182194763,0.2519112577421885,13.577812455959906,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,DL IBLER,0,1.437963121254242,2.6772814049327156,22.234147397553976,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,DL MCS AVG,0,1.2277734094398423,2.1293648638365297,21.243185088568588,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,DL RANK2 Ratio,0,7.391670363436976,10.831292484110548,66.45352416090809,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,ERAB Setup Success Rate(%),1,3.2150538326183207,10.063981332078228,99.97930737226446,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,ERAB_Setup_Failure_Times,0,4.720229980360816,9.280344005990196,130.18693101865134,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,HI Failure Times,0,5.155945776646669,9.315849417162601,84.12324283368142,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,HI Succ Rate(%),0,3.3649585166569618,9.381733140735104,84.59211449332913,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,HI Succ Times,0,137.66338970438917,246.6713783270253,237.02741660421503,run
